feature_id,geometry_type,coordinates,geometry_format
way/1119326272,LineString,"[[30.422569, 59.9596186], [30.4225699, 59.9598077], [30.4225709, 59.9600124], [30.4225742, 59.9619689]]","LINESTRING(59.9596186 30.422569,59.9598077 30.4225699,59.9600124 30.4225709,59.9619689 30.4225742)"
way/1119326273,LineString,"[[30.4224461, 59.9619699], [30.4224282, 59.9603869], [30.4224108, 59.9598605], [30.4224091, 59.9598086], [30.4223925, 59.9596113]]","LINESTRING(59.9619699 30.4224461,59.9603869 30.4224282,59.9598605 30.4224108,59.9598086 30.4224091,59.9596113 30.4223925)"
way/1119378293,LineString,"[[29.9777091, 59.8674757], [29.9771048, 59.8677421]]",
way/1119447222,LineString,"[[30.4329508, 59.93269], [30.4328779, 59.9327303], [30.4328128, 59.9328089]]","LINESTRING(59.93269 30.4329508,59.9327303 30.4328779,59.9328089 30.4328128)"
way/1119447223,LineString,"[[30.4189573, 59.9304216], [30.4186286, 59.9303765]]",
way/1119447224,LineString,"[[30.4175577, 59.930178], [30.4173066, 59.9301272]]",
way/1119489558,LineString,"[[29.9815232, 60.0334437], [29.9808341, 60.0335293], [29.979863, 60.0336367]]","LINESTRING(60.0334437 29.9815232,60.0335293 29.9808341,60.0336367 29.979863)"
way/1119503700,LineString,"[[29.7696911, 59.9989821], [29.7696694, 59.9989538], [29.7696505, 59.998929]]","LINESTRING(59.9989821 29.7696911,59.9989538 29.7696694,59.998929 29.7696505)"
way/1119503746,LineString,"[[29.7705869, 60.0001501], [29.7697792, 59.999097], [29.7696911, 59.9989821]]","LINESTRING(60.0001501 29.7705869,59.999097 29.7697792,59.9989821 29.7696911)"
way/1119503749,LineString,"[[29.7706373, 60.0002115], [29.7706207, 60.0001919]]",
way/1119503892,LineString,"[[29.7696505, 59.998929], [29.7696411, 59.9989165]]",
way/1119504113,LineString,"[[29.7681753, 59.9992094], [29.7682786, 59.9991888], [29.7686008, 59.9991244], [29.7692569, 59.9989933], [29.7695814, 59.9989285], [29.7696162, 59.9989215]]","LINESTRING(59.9992094 29.7681753,59.9991888 29.7682786,59.9991244 29.7686008,59.9989933 29.7692569,59.9989285 29.7695814,59.9989215 29.7696162)"
way/1119504514,LineString,"[[29.7696162, 59.9989215], [29.7696411, 59.9989165], [29.7696702, 59.9989108]]","LINESTRING(59.9989215 29.7696162,59.9989165 29.7696411,59.9989108 29.7696702)"
way/1119504515,LineString,"[[29.7696702, 59.9989108], [29.7697546, 59.9988941]]",
way/1119504574,LineString,"[[29.7680685, 59.9992307], [29.7681753, 59.9992094]]",
way/1119511100,LineString,"[[29.7676512, 59.9987331], [29.7674929, 59.9987638]]",
way/1119511101,LineString,"[[29.7674929, 59.9987638], [29.7668109, 59.9988938], [29.7663384, 59.9989838], [29.7652287, 59.999204], [29.7648134, 59.9992861], [29.7645776, 59.9993327], [29.7644047, 59.9993679], [29.764215, 59.9994064], [29.7632574, 59.999601], [29.761863, 59.9998844], [29.7615996, 59.9999379], [29.7615106, 59.999956]]","LINESTRING(59.9987638 29.7674929,59.9988938 29.7668109,59.9989838 29.7663384,59.999204 29.7652287,59.9992861 29.7648134,59.9993327 29.7645776,59.9993679 29.7644047,59.9994064 29.764215,59.999601 29.7632574,59.9998844 29.761863,59.9999379 29.7615996,59.999956 29.7615106)"
way/1119609792,LineString,"[[30.4937568, 59.9570161], [30.4938302, 59.9570791]]",
way/1119609793,LineString,"[[30.4938302, 59.9570791], [30.4936908, 59.9570792]]",
way/1119609794,LineString,"[[30.4872892, 59.9554096], [30.4873522, 59.9553503]]",
way/1119609795,LineString,"[[30.4825765, 59.9541091], [30.4827396, 59.9541515], [30.4828138, 59.9541707], [30.4829741, 59.9542124]]","LINESTRING(59.9541091 30.4825765,59.9541515 30.4827396,59.9541707 30.4828138,59.9542124 30.4829741)"
way/1119609796,LineString,"[[30.4829194, 59.954265], [30.4827594, 59.9542232], [30.482685, 59.9542038], [30.4825225, 59.9541613]]","LINESTRING(59.954265 30.4829194,59.9542232 30.4827594,59.9542038 30.482685,59.9541613 30.4825225)"
way/1119609797,LineString,"[[30.4869459, 59.9553186], [30.4864962, 59.9552023], [30.4854522, 59.9549288], [30.4845139, 59.9546829], [30.4841287, 59.9545819], [30.483234, 59.9543474], [30.4829194, 59.954265]]","LINESTRING(59.9553186 30.4869459,59.9552023 30.4864962,59.9549288 30.4854522,59.9546829 30.4845139,59.9545819 30.4841287,59.9543474 30.483234,59.954265 30.4829194)"
